"filename","polarity","samp_type","cruise","station","cast","depth","abs_depth","rosette","tripl","id","untripl","date_run","timestamp"
"180821_Poo_Day1and2Poo_Full4.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full5.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full6.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half1.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half2.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half3.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half4.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half5.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half6.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Smp_MS11C2DCM_B.mzML","neg","Smp","MT","11",2,"DCM",110.7,11,"B","MS11C2DCM_B","180821_Smp_MS11C2DCM",2018-08-21,2018-08-22 16:14:16
"180821_Smp_MS11C2DCM_B.mzML","pos","Smp","MT","11",2,"DCM",110.7,11,"B","MS11C2DCM_B","180821_Smp_MS11C2DCM",2018-08-21,2018-08-22 16:14:16
"180821_Smp_MS12C1175m_A.mzML","neg","Smp","MT","12",1,"175m",175.2,1,"A","MS12C1175m_A","180821_Smp_MS12C1175m",2018-08-21,2018-08-22 17:55:16
"180821_Smp_MS12C1175m_A.mzML","pos","Smp","MT","12",1,"175m",175.2,1,"A","MS12C1175m_A","180821_Smp_MS12C1175m",2018-08-21,2018-08-22 17:55:16
"180821_Smp_MS13C315m_B.mzML","neg","Smp","MT","13",3,"15m",15.3,1,"B","MS13C315m_B","180821_Smp_MS13C315m",2018-08-21,2018-08-22 18:45:46
"180821_Smp_MS13C315m_B.mzML","pos","Smp","MT","13",3,"15m",15.3,1,"B","MS13C315m_B","180821_Smp_MS13C315m",2018-08-21,2018-08-22 18:45:46
